date,province,cases,count
2020/1/26,四川,total_recoveries,0
2020/1/26,黑龙江,total_recoveries,0
2020/1/26,北京,total_recoveries,2
2020/1/26,上海,total_recoveries,3
2020/1/26,福建,total_recoveries,0
2020/1/26,河北,total_recoveries,0
2020/1/26,陕西,total_recoveries,0
2020/1/26,广西,total_recoveries,0
2020/1/26,云南,total_recoveries,0
2020/1/26,海南,total_recoveries,0
2020/1/26,贵州,total_recoveries,0
2020/1/26,山西,total_recoveries,0
2020/1/26,辽宁,total_recoveries,0
2020/1/26,天津,total_recoveries,0
2020/1/26,甘肃,total_recoveries,0
2020/1/26,吉林,total_recoveries,0
2020/1/26,内蒙古,total_recoveries,0
2020/1/26,新疆,total_recoveries,0
2020/1/26,宁夏,total_recoveries,0
2020/1/26,香港,total_recoveries,0
2020/1/26,台湾,total_recoveries,0
2020/1/26,青海,total_recoveries,0
2020/1/26,澳门,total_recoveries,0
2020/1/26,西藏,total_recoveries,0
2020/1/26,湖北,total_deaths,76
2020/1/26,广东,total_deaths,0
2020/1/26,河南,total_deaths,1
2020/1/26,浙江,total_deaths,0
2020/1/26,湖南,total_deaths,0
2020/1/26,安徽,total_deaths,0
2020/1/26,江西,total_deaths,0
2020/1/26,江苏,total_deaths,0
2020/1/26,重庆,total_deaths,0
2020/1/26,山东,total_deaths,0
2020/1/26,四川,total_deaths,0
2020/1/26,黑龙江,total_deaths,1
2020/1/26,北京,total_deaths,0
2020/1/26,上海,total_deaths,1
2020/1/26,福建,total_deaths,0
2020/1/26,河北,total_deaths,1
2020/1/26,陕西,total_deaths,0
2020/1/26,广西,total_deaths,0
2020/1/26,云南,total_deaths,0
2020/1/26,海南,total_deaths,1
2020/1/26,贵州,total_deaths,0
2020/1/26,山西,total_deaths,0
2020/1/26,辽宁,total_deaths,0
2020/1/26,天津,total_deaths,0
2020/1/26,甘肃,total_deaths,0
2020/1/26,吉林,total_deaths,0
2020/1/26,内蒙古,total_deaths,0
2020/1/26,新疆,total_deaths,0
2020/1/26,宁夏,total_deaths,0
2020/1/26,香港,total_deaths,0
2020/1/26,台湾,total_deaths,0
2020/1/26,青海,total_deaths,0
2020/1/26,澳门,total_deaths,0
2020/1/26,西藏,total_deaths,0
2020/1/27,湖北,total_confirmed,2714
2020/1/27,广东,total_confirmed,207
2020/1/27,河南,total_confirmed,168
2020/1/27,浙江,total_confirmed,173
